id,sent0,sent1,label
9535,bars are not just for drinking,wine cellars are not just for drinking,0
9536,my grandpa can't sleep so he took sleeping pills,my grandpa can't sleep so he took stimulant pills,1
9537,I'm looking for a postman to mail the letter,I'm looking for a policeman to mail the letter,1
9538,every time my cat eats a fish it is very happy,every time my cat eats bamboo it is very happy,1
9539,pandas are rare so we protect them in the zoo,we protect pandas in the zoo so they are rare,1
9540,she can become a model because she has a good figure,she can become a model because she is out of shape,0
9541,she asked the cook to add more sugar because she loved sweets,she asked the cook to add more salt because she loved sweets,0
9542,we listened carefully to what the teacher was saying,we listened carefully to what the teacher was thinking,0
9543,you need a mask to prevent the spread of infection,you need a hat to prevent the spread of infection,0
9544,I bought a razor for my dad as a gift,I bought a razor for my mother as a gift,0
9545,you need to answer the phone when the phone is ringing,you need to hang off the phone when the phone is ringing,0
9546,we agreed on a location before we met,we agreed on a location before we had a call,1
9547,the roof shelters us from the rain,the root shelters us from the rain,1
9548,we shouldn't order too much food in the restaurant,we should order as much food as we can in the restaurant,1
9549,Muslims do not eat pork because of religion,Muslims do not eat pork because of the taste,1
9550,Coca-Cola has been popular for hundreds of years because of its taste,Coca-Cola has been popular for hundreds of years because of its name,0
9551,I just can't balance myself to ride the bicycle,I just can't balance myself to drive the car,0
9552,he grew up one year older after every birthday,he grew up one year younger after every birthday,0
9553,air conditioning can change the temperature effectively,air conditioning can change the brightness effectively,1
9554,I divorced after I found out that my wife had cheated on me,I got married after I found out that my wife had cheated on me,0
9555,I used the leaves to pack the pork,I used the water to pack the pork,1
9556,I need a piece of soap to take a shower,I need toothpaste to take a shower,0
9557,the heroine kisses her lover in this movie,the heroine kisses the audience in this movie,1
9558,people in the desert lack water,people in the desert don't need water,0
9559,queuing is a rule for good order,queuing is a punishment for destroying order,1
9560,nose is the organ we use to breathe,ears are the organs we use to breathe,0
9561,we planted trees for a better world,we planted mines for a better world,1
9562,reading can improve our thinking ability,running can improve our thinking ability,1
9563,autumn is the season of harvest,spring is the season of harvest,0
9564,advertising is used to show the advantages of products,advertising is used to show the shortcomings of products,0
9565,she employs a driver because she can't drive,she employs a chef because she can't drive,1
9566,it's a great honor for me to have a talk with the president,it's a great honor for me to have a talk with my mother,0
9567,he needed a calculator to solve this difficult calculation,he needed a calculator to solve this simple calculation,1
9568,chatting with American is good for our English learning,chatting with American is good for our Chinese learning,0
9569,farmers can pick up apples on the trees,farmers can pick up apples on the ground,0
9570,Americans couldn't understand what he said because of his strange accent,Americans couldn't understand what he said because of his standard spoken English,1
9571,illness can be found during routine physicals,illness can be cured during routine physicals,1
9572,I earned money by working,I earned money by sleeping,0
9573,my mother found that she was pregnant yesterday,my father found that he was pregnant yesterday,1
9574,my nice wearing left a good impression on him,my nice wearing left a bad impression on him,0
9575,my new day began with a beautiful morning,my new day began with a beautiful afternoon,0
9576,I bought some chairs to open a cafe,I bought some beds to open a cafe,0
9577,rice is the main food for some people,rice is the main food for all the people,0
9578,the game company makes games for money,the game company makes games for encouragement,1
9579,the shopping mall is filled with shops,the shopping mall is filled with car parks,1
9580,the poem used many beautiful words,the poem used many beautiful pictures,1
9581,a wall without touching the ground is impossible,a wall without touching the sky is impossible,0
9582,the handle on the door is for ease of use,the handle on the door is for decoration,1
9583,newspapers are printed by printers,newspapers are printed by journalists,0
9584,I need to buy a CD to listen to music at home,I need to buy a CD to watch videos at home,0
9585,you can buy a wrench on the Internet to fix the windows,you can download a wrench on the Internet to fix the windows,1
9586,I bought a headphone to enjoy the music alone,I bought a headphone to share the music with others,0
9587,my parents went to different public toilets just now,my parents went to the same public toilet just now,0
9588,my mother asks me to tidy my room every day,my mother asks me to litter my room every day,1
9589,programmers write code every day to earn money,programmers plant crops every day to earn money,1
9590,you need to have a long time learning to be a musician,you don't need learning to be a musician,1
9591,the library is a good place to study because of its quiet environment,the library is a good place to sleep because of its quiet environment,1
9592,I'm writing code on the computer,I'm writing code on the paper,1
9593,I used paper bags to be environmentally friendly,I used plastic bags to be environmentally friendly,1
9594,we can work in the night thanks to the electricity,we can work in the night thanks to the sunlight,1
9595,soldiers wore fatigues to hide in the jungle,soldiers wore fatigues to be attractive in the jungle,0
9596,I gradually forgot something due to the memory decay,I gradually recalled something due to the memory decay,1
9597,Japanese has borrowed heavily from English,Japanese has borrowed heavily from barking,0
9598,I need a stamp to send this letter,I need a stamp to send this email,0
9599,I forbid my daughter to walk alone in the darkness,I encourage my daughter to walk alone in the darkness,0
9600,the rain fell into my shoes and my socks got wet,the rain fell into my head and my brain got wet,0
9601,I can't live without food,I can't live without snacks,1
9602,"this is a bumper harvest year, we picked tons of apples from apple trees","this is a bumper harvest year, we picked tons of leaves from apple trees",1
9603,stone can hit through the paper,stone can warp the paper,1
9604,extreme temperature can be found on the south pole,proper temperature can be found on the south pole,0
9605,I chose the farther cafe because of the distance,proper temperature can be found on the south pole,1
9606,I felt sadder after eating terrible food,I felt happy again after eating terrible food,0
9607,I need inspirations to design bowls,I need inspirations to clean bowls,0
9608,the law gave the police the right to search your house,the uniform gave the police the right ro search your house,1
9609,I lit the fireplace to warm myself,I lit my house to warm myself,1
9610,the flowers are blooming,the flowers are crying,0
9611,we can play with dogs,we can talk with dogs,0
9612,he thought it would rain soon so he carried an umbrella,he thought it would rain soon so he carried sunglasses,1
9613,I brush my teeth every day to keep them clean,I brush my teeth every day to keep them dirty,0
9614,we can use real data in scientific researches,we can use fabricated data in scientific researches,1
9615,we should pay attention to the traffic light when we go across the road,we should ignore the traffic light when we go across the road,0
9616,the modern city is more industrialized than the countryside,the modern city is more agricultural than the countryside,1
9617,we went to the cemetery to remember the dead people,we went to the cemetery to chat with the dead people,1
9618,my favorite photo was in my lost wallet,my best friend was in my lost wallet,1
9619,"if we pick up other's wallet, we should return it to the owner","if we pick up other's wallet, we should share it with our friends",0
9620,the language is a part of a nation's culture,the climate is a part of a nation's culture,1
9621,everyone has unique fingerprints,everyone has expensive fingerprints,1
9622,my head hurts,my heads hurt,1
9623,I found a lipstick in my mother's makeup cabinet,I found a lipstick in my mother's first-aid kit,1
9624,I fed wheat to my pigs,I fed pork to my wheat,0
9625,my family go to the park to see lotus every summer,my family go to the park to see plum blossoms every summer,0
9626,I bought some desserts in the shopping mall for my daughter,I bought some desert in the shopping mall for my daughter,0
9627,high-calorie food is more likely to make people fat,low-calorie food is more likely to make people fat,1
9628,the puppy wanted to find its mother's breast to be fed,the chick wanted to find its mother's breast to be fed,1
9629,humans' lifespan has been extended thanks to the development of medical technology,humans' lifespan has been shortened thanks to the development of medical technology,1
9630,one day humans will settle on another planet,one day humans will settle on another star,1
9631,sailors work in the ocean,sailors work on the land,1
9632,teachers assign homework to the students,teachers assign housework to the students,1
9633,appearance is not very important for athletes,appearance is not very important for actors,0
9634,nice wearing can cause people to notice you at the party,normal wearing can cause people to notice you at the party,0
9635,wearing a party hat to attend the celebration is perfect,wearing a party hat to attend the funeral is perfect,0
9636,you will feel better about yourself when you dress nice,you will feel inferior about yourself when you dress nice,0
9637,I cut my hair shorter at the barber's,I cut my hair longer at the barber's,1
9638,I can count the number of the moon in the sky,I can count the number of stars in the sky,1
9639,we can't breathe in the water because I don't have gills,we can't breathe in the water because I don't have tails,0
9640,I could smell the whiskey on his breath,I could drink the whiskey on his breath,1
9641,I sat in the backseat of the taxi with my girlfriend,I sat in the trunk of the taxi with my girlfriend,0
9642,chefs should wash their hands before preparing food for customers,chefs should wear gloves before preparing food for customers,0
9643,people go to jail because they sinned,people go to jail because they don't want freedom,0
9644,I saw snow in South Africa in June,I saw snow in Singapore in June,0
9645,a thicker cloth can help you keep warm in snowy days,an umbrella can help you keep warm in snowy days,1
9646,the bicycle is a useful transportation tool in campus,the plane is a useful transportation tool in campus,0
9647,fans went mad when their team scored a goal,fans were sad when their team scored a goal,0
9648,I was fined for cheating in the exam,I got a scholarship for cheating in the exam,1
9649,the hot weather made me keep sweating,the hot weather made me keep bleeding,0
9650,you can't try out products when you shop online,you don't need to try out products when you shop online,0
9651,music can make driving a joyful thing,reading can make driving a joyful thing,1
9652,everyone said I had two beautiful lips,everyone said I had two beautiful mouths,1
9653,relaxed mindset is a useful skill in marathon running,cat walking is a useful skill in marathon running,1
9654,both funerals and weddings are major ceremonies,both funerals and weddings are cheerful ceremonies,0
9655,I often bought chalk for teachers to write on the blackboards when I was a boy,I often bought chalk for teachers to write on the ipads when I was a boy,1
9656,his mother died for giving birth to him,his father died for giving birth to him,1
9657,gardeners grow flowers in gardens,gardeners grow crops in gardens,1
9658,I use paint to change the color of my room,I use Photoshop to change the color of my room,0
9659,I can't forget the night that I saw Mars with telescope,I can't forget the night that I saw cells with telescope,0
9660,I burned myself accidentally when I was cooking,I burned myself accidentally when I was taking a shower,1
9661,every time I hang out at the bar I will get drunk,every time I hang out at the cinema I will get drunk,1
9662,I gave birth to my eldest son,I gave birth to my grandson,1
9663,you should have your passport ready before you take international flights,you should have your passport ready before you take domestic flights,1
9664,I'm looking for a gas station to refuel my car,I'm looking for a gas station to refuel my bicycle,1
9665,I refused to drive after drinking wine,I refused to drive after drinking gas,1
9666,mushrooms are a very common dish in Asia,mushrooms are a very rare dish in Asia,1
9667,we can change our names when we want,we can change our fingerprints when we want,0
9668,flu can spread easily through touch,flu can spread easily through eye contact,0
9669,my daughter was terrified when she menstruated for the first time,my son was terrified when he menstruated for the first time,1
9670,airports are a feat of modern engineering,waterfalls are a feat of modern engineering,0
9671,I'm so busy that I haven't slept for two days,I'm so busy that I haven't slept for two years,1
9672,we can't breathe without the lungs,we can't breathe without the noses,1
9673,I brought my sailing ship to float in the sea,I brought my friendship to float in the sea,1
9674,he won a prize as best actor,he won a prize as best thief,0
9675,I don't know what's my real vocation,I don't know what's my real gender,1
9676,Joel said goodbye to his kids before traveling to Africa,Joel said hello to his kids before traveling to Africa,0
9677,you will find a payment counter in a bank,you will find a payment counter in a police station,1
9678,writing a story requires creativity,writing a story requires a beautiful voice,1
9679,a parachute bag can save your life when you are falling from a high place,a life jacket can save your life when you are falling from a high place,0
9680,I love my girlfriend and I want to marry her,I love my girlfriend and I want to break up with her,1
9681,humans can be identified by their unique fingerprints,humans can be identified by their unique names,0
9682,it has been rainy for a long time and the river flooded,it has been rainy for a long time and the river dried up,1
9683,I attended a classical concert to enjoy music,I attended a classical concert to enjoy the paintings,0
9684,music is a form of art,music is a form of artist,1
9685,a wood stove is a heat source,a plastic stove is a heat source,0
9686,"where knowledge begins, religion ends","where knowledge begins, science ends",1
9687,many animals eat grass but humans don't,many animals eat air but humans don't,0
9688,I need to bring my wallet when I go to the restaurant,I need to bring my kitchenware when I go to the restaurant,1
9689,I am so lucky to find my true love,I am so unlucky to find my true love,0
9690,the sun rises every day in China,the sun rises sometimes in China,0
9691,I called the front counter and asked them to send some food to my room,I called the front counter and asked them to send some drugs to my room,0
9692,they have reserved a box for us in the theatre,they have reserved a table for us in the theatre,0
9693,I promised to help my boyfriend although I was too busy,I promised to help my boyfriend because I was too busy,0
9694,football players wear short sleeves to lose heat,football players wear short sleeves to protect themselves,0
9695,I want to make an appointment for a facial next week,I want to make an appointment for a facial last week,1
9696,plastic surgery is for beauty,plastic surgery is for health,0
9697,goose liver is an expensive ingredient,human liver is an expensive ingredient,1
9698,some ingredients are expensive because it's rare,some ingredients are expensive because it's common,1
9699,ingredients need to be cooked before being eaten,ingredients need to be photographed before being eaten,0
9700,I was disappointed because the expensive food tasted bad,I was disappointed because the expensive food tasted good,0
9701,garbage recycling is a green lifestyle,burying garbage is a green lifestyle,1
9702,thanks to the seat belt I survived in the car accident,thanks to the leather belt I survived in the car accident,1
9703,starving people care little about food quality,starving people care little about food sources,1
9704,natural disaster will pity no one,natural disaster will pity rich people,1
9705,a campfire can be nice on a cold night,a campfire can be nice in a cold tent,0
9706,boys usually don't wear dress in China,boys usually can't wear dress in China,1
9707,I need electricity to power my smart watch,I need fuel to power my smart watch,0
9708,I spent the whole night sleeping to get off the jet lag,I spent the whole night sleeping to get off the jet,0
9709,gardeners water the roots of the trees every day,gardeners water the leaves of the trees every day,1
9710,I wanted to join them because I enjoyed chatting with them,I wanted to quit them because I enjoyed chatting with them,0
9711,he found he was gay when he fell in love with a man,he found he was gay when he fell in love with a woman,0
9712,weighing an elephant is very difficult because of its heavy weight,weighing an elephant is very difficult because of its cute appearance,1
9713,the benign tumor doesn't have fatal harm for you,the malignant tumor doesn't have fatal harm for you,1
9714,kids catch butterflies for fun,kids catch butterflies for food,0
9715,drinking milk can help teenagers grow taller,drinking milk can help teenagers grow shorter,0
9716,I used to take notes on the paper,I used to take notes on the pens,1
9717,I use a spoon to eat rice,I use a knife to eat rice,0
9718,students need to write their names on the examination paper,students need to write their scores on the examination paper,1
9719,perming will make your hair curly,perming will make your hair longer,0
9720,twins were born on the same day,twins died on the same day,0
9721,one kilogram of stone is as heavy as one kilogram of feather,one kilogram of stone is much heavier than a kilogram of feather,0
9722,it's crazy to turn on the electricity fans on a freezing day,it's crazy to turn on the air conditioning on a freezing day,1
9723,we need different visas to visit different countries,we need different passports to visit different countries,0
9724,people doing unselfish things are really noble,people doing noble things are really selfish,0
9725,spring festival celebrates the first day of the Lunar New Year,spring festival celebrates the first day of the solar calendar new year,0
9726,after the loan we need to pay back to the bank,after the loan we need to give credit card back to the bank,0
9727,I always carry my laptop with me,I always carry my desktop pc with me,0
9728,Nike printed the logo on the clothes,Nike printed the prices on the clothes,1
9729,I took a video to record the process of my son making cakes for the first time,I took a photo to record the process of my son making cakes for the first time,0
9730,doctors often wear masks to prevent the spread of infection,doctors often wear masks to prevent being recognized,1
9731,I have more and more white hair as I get older,I have more and more black hair as I get older,1
9732,nobody has ever really heard or seen god,believers have ever really heard or seen god,1
9733,wearing leather shoes are a good choice for weddings,wearing slippers are a good choice for weddings,1
9734,grasshoppers can be a food source,grasshoppers can be a water source,1
9735,a library is a good place to stay on rainy days,a open air park is a good place to stay on rainy days,1
9736,most of the earth's surface is covered by water,most of the earth's surface is covered by dirt,1
9737,students attend college to further their education,students attend concerts to further their education,0
9738,language is one way to communicate for human beings,language is the only way to communicate for human beings,0
9739,language changes slowly as time goes by,language remains unchanged as time goes by,1
9740,a cup of coffee in the morning can make you more energetic,a cup of coffee in the morning can make you smarter,0
9741,I pressed the accelerator in my car to speed up,I pressed the accelerator in my bicycle to speed up,1
9742,I ate hamburgers to end my hunger pains,I ate iron to end my hunger pains,1
9743,the plane landed smoothly at the airport,the plane landed smoothly in the parking lot,0
9744,"at adolescence, muscles go through a growth spurt","in old age, muscles go through a growth spurt",1
9745,plants develop from seeds,animals develop from seeds,1
9746,washing your car is for keeping it clean,washing your car is for keeping it fast,0
9747,people invented toothpaste to keep teeth clean,people invented toothpaste to keep toothbrush clean,0
9748,you can buy drinks from vending machines without communicating with cashiers,you can buy drinks from vending machines without paying money,0
9749,movie stars are often photographed by others in public,movie stars often photograph others in public,1
9750,it seems my joke is funny because everybody laughed,it seems my joke is funny because nobody laughed,0
9751,you need to be careful of sharks when you swim in the ocean,you need to be careful of sharks when you swim in the swimming pool,0
9752,I finished my work before I going to sleep,I finished my work while I going to sleep,0
9753,"I can't afford the flight ticket from China to the US, so I decided to take ship","I can't afford the flight ticket from China to the US, so I decided to walk",0
9754,animals in the Acrobatic Troupe are fed every day,animals in the Acrobatic Troupe receive wages every day,0
9755,teammates are here to work with you in teamwork,teammates are here to encourage you in teamwork,1
9756,the teacher was very angry that I was late for school again and again,the teacher was very cheerful that I was late for school again and again,0
9757,girls wear skirts in winter for beauty,girls wear skirts in winter for warmth,1
9758,reading books is a good choice to enjoy your stay at home,driving a car is a good choice to enjoy your stay at home,0
9759,he scored a crucial goal by head in a soccer match,he scored a crucial goal by hand in a soccer match,0
9760,we built street lamps to provide a public service,we built street lamps to provide a personal service,0
9761,crops can't live without the sun,crops can't live without farmers,1
9762,I was very surprised to see old friends abroad,I was very scared to see old friends abroad,1
9763,Alice broke down when the situation was hopeless,Alice broke down when the situation was hopeful,0
9764,ice cream is more popular in summer than in winter,ice cream is more popular in winter than in summer,1
9765,my boss checks unread emails carefully every day,my boss checks read messages carefully every day,0
9766,we are vaccinated for disease prevention,we are vaccinated for the cure of the disease,0
9767,I bought a juicer for drinking fresh juice,I bought a pan for drinking fresh juice,1
9768,taking final exams caused lots of stress,taking summer vacation caused lots of stress,0
9769,clues can lead you to the answer,disguise can lead you to the answer,1
9770,you may cook food well by following a recipe,you can definitely cook food well by following a recipe,1
9771,the company fired some employees because of continued losses,the company hired more employees because of continued losses,0
9772,the deaf man can't hear me yelling,the blind man can't hear me yelling,0
9773,I'm waiting for a clear night to observe stars,I'm waiting for a cloudy night to observe stars,0
9774,building workers risk injury by not wearing safety helmets,building workers risk injury by not wearing baseball caps,0
9775,buying presents requires love and money,buying presents requires love or money,1
9776,going to the zoo is for seeing animals,going to the zoo is for being seen,1
9777,a cowboy waters the horses everyday,the horses water the cowboy everyday,0
9778,people expect enjoyment when they go to the cinema,people expect boredom when they go to the cinema,0
9779,Bob painted a picture yesterday,Bob sang a picture yesterday,1
9780,paying by credit card is for not carrying cash,paying by credit card is for not paying money,0
9781,you need an audience if you want to share your story,you need a dog if you want to share your story,0
9782,the audience will buy a cup of beer before the basketball game begins,the players will buy a cup of beer before the basketball game begins,0
9783,I need to turn off the TV when I finish watching the TV show,I need to say goodbye to people on TV when I finish watching the TV show,1
9784,goods can be transported by plane,goods can be transported by wind,1
9785,the ship hit the submarine yesterday,the ship hit the train yesterday,0
9786,I can lift gym equipment easily,I can lift the gym easily,1
9787,meeting my friends is for pleasure,meeting my friends is for business,1
9788,when you borrowed a car you can show it to others,when you borrowed a car you can sell it to others,1
9789,I had plastic surgery in the hospital,I had plastic surgery in the pharmacy,1
9790,fortunately the fat man lost weight by working hard,fortunately the fat man lost fingers by working hard,1
9791,couples would divorce if they betrayed each other,couples would divorce if they believed each other,0
9792,the weather can be either cool or warm in China,the weather can be either sweet or salt in China,0
9793,adults change clothes according to the weather every day,adults change clothes according to their height every day,1
9794,you can use ink to write things,you can use a link to write things,1
9795,museum exhibits artifacts for everyone to learn,museum exhibits artifacts for sale,0
9796,the bell ringing announced that the class was over,the alarm ringing announced that the class was over,1
9797,you can use money to buy some products to live longer,you can use money to buy some health to live longer,1
9798,studying requires patience,studying requires violence,0
9799,we used optical microscopes to see cells in science class,we used optical microscopes to see atoms in science class,0
9800,designers show avant-garde clothes in a fashion show,designers show outdated clothes in a fashion show,1
9801,the young man offered his seat to the old lady on the bus,the driver offered his seat to the old lady on the bus,0
9802,I jumped into the water to cool myself,I jumped into the fire to cool myself,1
9803,my father sold the best products to become the best salesman,my father sold the best salesmen to become the best product,1
9804,I washed my clothes twice a week,I washed my computers twice a week,1
9805,I used to step on the stone to get the sugar on the top of the cupboard,I used to step on the mountain to get the sugar on the op of the cupboard,0
9806,a wall is the boundary of a house,a wall is the entrance of a house,0
9807,we built a factory to produce creative goods,we built a factory to produce creative ideas,1
9808,we use the microscope to learn about the microcosm,we use the microscope to learn about the universe,1
9809,we can find first class airplane seats in the front of a plane,we can find first class airplane seats in the wings of a plane,0
9810,"when a relative dies, we held a funeral for him","when a relative dies, we held a party for him",0
9811,a bed can rest a person,a bed can rest a pillow,0
9812,parents will praise children when kids did something well,children will praise parents when kids did something well,1
9813,professional soccer players earn money by playing football games,professional soccer players earn money by selling footballs,1
9814,pets are animals,animals are pets,1
9815,we buy Christmas trees in December every year,we grow Christmas trees in December every year,0
9816,water bathing removes dirt from the body,sun bathing removes dirt from the body,0
9817,I bought a ticket for the train I took,I bought a ticket for the taxi I took,0
9818,he was fined for smoking in the airplane,he was fined for smoking in his home,0
9819,we took notes in class for not forgetting the knowledge,we took notes in class for recording what we were thinking,1
9820,I want to find a quiet place to have a sleep,I want to find a noisy place to have a sleep,0
9821,People close their doors when they go out of the home,People open their doors when they go out of the home,0
9822,People can talk chat with living people,People can chat with the dead,1
9823,Tears will be secreted when the sand touches eyes,Sweat will be secreted when the sand touches eyes,0
9824,People usually put curtains on the windows,People usually put curtains on the walls,1
9825,People usually roast meat over fire,People usually roast meat with cold water,1
9826,People usually enter the park from the entrance,People usually enter the park from the fence,0
9827,People usually like to wear fitted clothes,People usually like to wear oversize clothes,1
9828,People should abide by the contract,People should break the contract,0
9829,Rats can't bite metal furniture,Rats can't bite wood furniture,0
9830,Sheep usually hate wolves,Sheep usually like wolves,0
9831,College students can learn different courses,College students usually learn the same courses,0
9832,Eating a lot of instant noodles is unhealthy,Eating a lot of instant noodles is healthy,1
9833,Programmers often use computers,Programmers usually don't use computers,1
9834,if you fail the exam you should study harder for next time,if you fail the exam you should cheat next time,1
9835,I should refresh myself when I fail,I should indulge myself when I fail,0
9836,mom cooks the fried egg once a week for me,mom cooks the fried tiger meat once a week for me,1
9837,sprinters' legs are usually strong,sprinters' arms are usually strong,0
9838,I can take part in the soccer game in athletic clothes,I can take part in the soccer game in formal clothes,1
9839,we can travel on the sea by boat,we can travel on the sea by train,0
9840,chickens' eggs is delicious,pigs' eggs are delicious,0
9841,we can eat noodles with forks,we can eat noodles with knives,1
9842,goats' milk is nutrient,birds' milk is nutrient,0
9843,People can make wires from metal,People can make wires from plastics,0
9844,People can read newspapers to know what has happened recently,People can read newspapers to know what will happen in the future,1
9845,People should rub ethyl alcohol on their skin before giving an injection,People should rub water on their skin before giving an injection,0
9846,Something you might do while taking the bus is reading a newspaper,Something you might do while taking the bus is drawing an oil painting,0
9847,She felt full and satisfied after having lunch,She felt hungry and satisfied after having lunch,0
9848,Bob is chewing while eating dinner,Bob is cooking while eating dinner,1
9849,A rat can survive a fall from a five-floor building,A person can survive a fall from a five-floor building,1
9850,The longest nonstop flight by a bird is eight days,The longest nonstop flight by a dog is eight days,0
9851,He caught a cold and had a hot shower,He caught a cold and had a cold shower,0
9852,Humans smell through their noses,Humans smell through their ears,0
9853,Alice formed a habit of jogging to keep fit,Alice formed a habit of sleeping to keep fit,0
9854,It's winter and it's freezing cold outside,It's summer and it's freezing cold outside,1
9855,Frogs will die without enough water,Frogs will die with enough water,1
9856,Kate made popcorn with a microwave oven,Kate made books with a microwave oven,0
9857,Marry lit up firewoods to make a campfire,Marry lit up rocks to make a campfire,1
9858,Barry went under an umbrella to stay dry on a rainy day,Barry went under an umbrella to stay wet on a rainy day,1
9859,She eats snacks while watching TV,She goes skiing while watching TV,1
9860,Children in school use crayons for drawing,Children in school use cameras for drawing,0
9861,Wang is eating with chopsticks,Wang is eating with poles,0
9862,Wet towels need to hang up to dry,Dry towels need to hang up to dry,1
9863,Running is a good exercise,Resting is a good exercise,1
9864,Cookies and milk make a great dessert,Computers and milk make a great dessert,1
9865,a blanket is for warmth,a basket is for warmth,0
9866,attending class is for learning,attending class is for playing,0
9867,He throws up when he eats bad food,He throws up when he eats nice food,0
9868,Shoes are meant to protect feet,Shoes are meant to protect hands,0
9869,most people consider it to be cold when it is below zero degrees,most people consider it to be cold when it is above ninety degrees,1
9870,a piece of paper is used for writing,a piece of cake is used for writing,1
9871,Amy is happy to know that her best friend has recovered from the illness,Amy is angry to know that her best friend has recovered from the illness,1
9872,my jaw dropped open when I was shocked,my jaw dropped open when I was unhappy,0
9873,the filthy car needs to be washed,the filthy car needs to be painted,1
9874,my friend paid for my ticket so I got on the bus,my friend paid for my ticket so I didn't get on the bus,1
9875,dina visited her family because she missed them,dina visited her family because she distrusted them,1
9876,the balloon expanded as he blew into it,the balloon expanded as he pricked it,1
9877,maggie told a joke to lighten the mood of the conversation,maggie remained quiet to lighten the mood of the conversation,0
9878,a hammer dropped on Bill's foot and his toe was broken,a hammer dropped on Bill's foot and his finger was broken,1
9879,the clothes are still dirty because I forgot to add laundry detergent,the clothes are still dirty because I forgot to add laundry water,0
9880,air leaked out of the beach ball because it had a hole on it,air leaked out of the beach ball because it had a picture on it,0
9881,the conversation gradually lulled to silence as more people left,the conversation gradually lulled to silence as more people joined,0
9882,julia pressed down on a piano key to make a sound,julia pressed down on a piano key to play a music,0
9883,vehicles travelled slowly in foggy days,vehicles travelled slowly in cloudy days,0
9884,lauren gained weight so she had to get her suit altered,lauren gained weight so she had to get her shoes shined,1
9885,the clouds were getting darker so I brought my umbrella to work,the clouds were getting darker so I brought my laptop to work,1
9886,the boy lost hold of the soap because it's slippery,the boy lost hold of the soap because it's fragrant,1
9887,the button on my shirt fell off so I sewed the button back on,the button on my shirt fell off so I glued the button back on,1
9888,the celebrity wore sunglasses to avoid recognition,the celebrity wore sunglasses to help recognition,0
9889,the leader received praise because he fought poverty,the leader received praise because he raised taxes,1
9890,my mailbox was overflowing with letters when I went back after one month,my mailbox was overflowing with letters when I went back after five minutes,1
9891,the banana ripened so we ate them,the banana ripened so we threw them away,1
9892,the chef pressed down on the dough and the dough flattened,the chef pressed down on the dough and the dough crumbled,0
9893,my feet were blistered after a day of hiking,my feet were blistered after a day of swimming,1
9894,her eyeglasses fogged up as she entered the sauna,her eyeglasses fogged up as she exited the sauna,1
9895,he found the tv show boring so he turned it off,he found the tv show boring so he recorded it,0
9896,the boy was afraid to go to bed because he watched a horror movie,the boy was afraid to go to bed because he watched a comedy movie,0
9897,the girl wanted to be a doctor so she went to the medical school,the girl wanted to be a doctor so she went to the hospital,1
9898,thomas wanted to get revenge on his enemy,thomas wanted to get revenge on his friend,1
9899,the woman was mistaken for her sister because they looked alike,the woman was mistaken for her sister because they sat close,1
9900,she made an error in her calculations because she checked it only once,she made an error in her calculations because she checked it several times,0
9901,the girl politely declined the hamburger because she was a vegetarian,the girl politely declined the hamburger because she liked fast food,1
9902,miley scrubbed the stain on the floor and she got rid of the stain,miley scrubbed the stain on the floor and she got dirt on the floor,0
9903,the egg splattered after I dropped it,the egg splattered after I boiled it,0
9904,a group of teenagers crashed the party and the host kicked them out,a group of teenagers crashed the party and the host invited them in,1
9905,the man took a shower because he was sweaty from working out,the man took a shower because he opened a new bar of soap,1
9906,the screen of the laptop went black because it's battery died,the screen of the laptop went black because it's warranty expired,1
9907,camila felt reluctant to switch careers when she made a lot of money currently,camila felt reluctant to switch careers when she endured a lot of stress currently,0
9908,the ocean tide was dangerous so the swimmers returned to a closer place,the ocean tide was dangerous so the swimmers put on more sunscreen,1
9909,minaj was deemed mentally ill so she was sent to a psychologist,minaj was deemed mentally ill so she sought a career as psychologist,0
9910,the aggressive football coach lost his voice after the game,the aggressive football coach lost his voice before the game,0
9911,I applied pressure to the cut on my arm and it stopped bleeding,I applied pressure to the cut on my arm and it healed,1
9912,leo had an infection so she took antibiotic,leo had an infection so she washed her hands,0
9913,the woman fanned herself with her hand for the air conditioner is broken,the woman fanned herself with her hand for the air conditioner is new,0
9914,the administrator cleared her throat because the meeting was commenced,the administrator cleared her throat because the meeting was postponed,1
9915,the boy giggled uncontrollably because his brother tickled him,the boy giggled uncontrollably because his brother kicked him,1
9916,the DJ turned the music on and everyone began to dance,the DJ turned the music on and everyone left the party,0
9917,I need some cash so I went to the bank,I need some cash so I went to the wallet store,1
9918,the boy lifted weights to be muscular,the boy played computer games to be muscular,0
9919,the milk stayed cold because I kept it in the refrigerator,the milk stayed cold because I boiled it in the pot,1
9920,fiona put the soup on ice cubes and it cooled down,fiona put the soup on ice cubes and it became thick,0
9921,the bully punched him and he got a black eye,the bully mocked him and he got a black eye,1
9922,the hunter ran out of ammunition and he reloaded the gun,the hunter ran out of ammunition and he aimed at the deer,0
9923,the man drank water with his meal because his meal was spicy,the man drank water with his meal because his meal was delicious,0
9924,the patient underwent the risky medical procedure to recover,the patient underwent the deadly medical procedure to recover,0
9925,i feed my cat twice a day,i feed my doll twice a day,1
9926,Jane carries her bag upstairs,Jane carries her house upstairs,0
9927,a cat hides under a car to shelter from the rain,a cat hides above a car to shelter from the rain,0
9928,she makes gestures to communicate with a deaf person,she makes phone calls to communicate with a deaf person,1
